epoch,train_loss,train_acc,val_loss,val_acc
1,1.541891769155753,0.7671953908528345,1.3115395648100097,0.8202253585249261
2,1.307338985206986,0.8279251724873746,1.2776835661338235,0.8307534714318233
3,1.288149610650396,0.8328472864357351,1.272485374128957,0.8314363760528113
4,1.2779285351542746,0.8363610498612988,1.2472094575012298,0.841395401775552
5,1.2747237069091752,0.8367878227469948,1.2715186335734943,0.8313794673343956
6,1.2646150256010469,0.8420798065296251,1.2258856441175208,0.8510129751877987
7,1.2602546702103508,0.843303222135287,1.1940316484209457,0.8663214204416116
8,1.256253084952245,0.845252151646632,1.1550710563802946,0.8820282267243341
9,1.2554015876202387,0.8462337292837329,1.205225378729449,0.8579558388345094
10,1.2519586782925531,0.847812788960808,1.19132754234472,0.865923059412702
11,1.252167393890059,0.8464897930151505,1.2480837325151053,0.8431026633280219
12,1.24774282110035,0.8473006614979728,1.1783536172472153,0.8707033917596175
13,1.2462577191853526,0.8480830784550821,1.188556549599576,0.8665490553152743
14,1.2432435137116984,0.8510704886549542,1.2155477422639989,0.85585021625313
15,1.2469909270937967,0.849064656092183,1.1731409183700183,0.8721830184384247
16,1.2459139322791943,0.8495056547407355,1.1905760905098433,0.8670612337810153
17,1.243055510566723,0.8503165232235579,1.2619128265224555,0.8370703391759617
18,1.2431785514678781,0.8507859733978235,1.1269493347795791,0.8918734350102435
19,1.2415059704997307,0.8517390995092112,1.2049781840889051,0.8587525608923287
20,1.241029000874137,0.8519240344263461,1.1741456163789752,0.873321192806738
21,1.2433852001090877,0.8501458140692795,1.1721640920519638,0.8733781015251536
22,1.2431718537050949,0.8504730066149797,1.151657274256202,0.8837923969952197
23,1.2453645219249334,0.8507717476349669,1.1578187715103598,0.8813453221033463
24,1.2403412601874693,0.852080517817768,1.1733965510093294,0.8735488276804007
25,1.2429315904489375,0.8501458140692795,1.1963254796218525,0.8618825404051901
26,1.2452436054284546,0.8500177822035707,1.185066036121899,0.8680855907124971
27,1.2390630439891526,0.8515541645920762,1.1554707795917485,0.8803209651718643
28,1.2406576253431894,0.8514261327263675,1.1949755180514323,0.8637605281129069
29,1.2397533602290238,0.8504730066149797,1.1730705231272114,0.8740610061461416
30,1.2370581498652435,0.8526068710434597,1.1804845383572682,0.8689961302071477
